Criteria,USA,Canada,Russia
"Growth rate of profitability of start-ups in 2015, %",3.5,1.7,0.9
"Index of innovative development for 2015, %",59.4,66.6,61.4
State participation in activities of start-ups,0.199,0.222,0.21
Development of basic researches,0.194,0.194,0.151
Development of objects of innovative infrastructure,0.148,0.166,0.148
Support of innovative business of start-ups,0.066,0.083,0.083
"Tax, credit, budget incentives of innovative activities of start-ups",0.044,0.044,0.051
Development of venture capital of start-ups,0.087,0.108,0.108
Legal support of innovative activities of start-ups,0.109,0.136,0.136
Integration into world innovative system,0.026,0.027,0.027
