Quarter,,1,2,3,4,Grand Total
1995,# of Deals,503,466,434,494,"1,897"
,Amount Invested,"$1,690,040,500","$2,546,374,500","$1,709,754,500","$2,070,353,900","$8,016,523,400"
1996,# of Deals,585,671,604,775,"2,635"
,Amount Invested,"$2,437,964,900","$3,017,298,000","$2,606,841,300","$3,223,318,800","$11,285,423,000"
1997,# of Deals,773,778,762,919,"3,232"
,Amount Invested,"$3,104,430,200","$3,691,566,400","$3,775,959,100","$4,499,598,900","$15,071,554,600"
1998,# of Deals,871,912,931,"1,030","3,744"
,Amount Invested,"$4,199,545,200","$5,784,400,500","$5,412,295,700","$6,165,090,000","$21,561,331,400"
1999,# of Deals,936,"1,330","1,448","1,892","5,606"
,Amount Invested,"$6,648,622,700","$11,315,434,200","$13,654,453,100","$23,340,087,500","$54,958,597,500"
2000,# of Deals,"2,161","2,142","1,960","1,779","8,042"
,Amount Invested,"$28,847,116,400","$28,002,550,400","$26,623,067,200","$21,975,113,800","$105,447,847,800"
2001,# of Deals,"1,321","1,239","1,035","1,001","4,596"
,Amount Invested,"$13,070,181,500","$11,445,800,800","$8,255,747,700","$8,166,871,200","$40,938,601,200"
2002,# of Deals,868,882,712,755,"3,217"
,Amount Invested,"$7,025,709,900","$6,113,876,500","$4,485,866,200","$4,577,100,100","$22,202,552,700"
2003,# of Deals,726,759,734,819,"3,038"
,Amount Invested,"$4,404,219,700","$4,978,709,000","$4,626,037,900","$5,681,669,000","$19,690,635,600"
2004,# of Deals,743,882,722,890,"3,237"
,Amount Invested,"$5,401,944,500","$6,331,879,600","$5,039,843,000","$6,086,524,000","$22,860,191,100"
2005,# of Deals,763,862,813,865,"3,303"
,Amount Invested,"$5,222,331,500","$6,149,008,500","$6,068,106,000","$5,805,921,700","$23,245,367,700"
2006,# of Deals,910,"1,010",954,"1,021","3,895"
,Amount Invested,"$6,755,728,800","$7,506,738,600","$6,880,274,400","$6,718,741,300","$27,861,483,100"
2007,# of Deals,907,"1,119","1,048","1,156","4,230"
,Amount Invested,"$7,514,140,700","$7,898,908,700","$8,200,899,600","$8,488,301,900","$32,102,250,900"
2008,# of Deals,"1,064","1,114","1,054",974,"4,206"
,Amount Invested,"$8,188,857,600","$8,057,335,300","$7,730,040,700","$6,457,772,100","$30,434,005,700"
2009,# of Deals,689,779,771,942,"3,181"
,Amount Invested,"$3,842,967,000","$5,180,163,200","$5,429,554,900","$5,929,556,200","$20,382,241,300"
2010,# of Deals,831,"1,039",894,920,"3,684"
,Amount Invested,"$5,108,008,000","$7,210,812,500","$5,494,163,700","$5,720,766,400","$23,533,750,600"
2011,# of Deals,915,"1,108","1,029","1,014","4,066"
,Amount Invested,"$6,530,429,100","$8,259,744,500","$7,609,822,800","$7,526,605,900","$29,926,602,300"
2012,Deals,904,"1,016",988,"1,097","4,005"
,Amount Invested,"$6,329,210,900","$7,556,279,300","$6,760,302,700","$7,079,726,500","$27,725,519,400"
2013,Deals,956,"1,055","1,108","1,188","4,307"
,Amount Invested,"$6,155,589,700","$7,323,978,700","$8,111,446,600","$8,703,206,900","$30,294,221,900"
2014,Deals,"1,062","1,205","1,088","1,143","4,498"
,Amount Invested,"$10,815,557,600","$14,059,200,200","$10,533,959,200","$15,742,056,800","$51,150,773,800"
2015,Deals,"1,091","1,234","1,189","1,047","4,561"
,Amount Invested,"$13,623,792,600","$17,435,147,700","$16,713,968,800","$12,335,136,900","$60,108,046,000"
2016,Deals,"1,021",999,891,,"2,911"
,Amount Invested,"$12,641,621,200","$15,570,439,500","$10,626,879,300",,"$38,838,940,000"
