Signs of x and y,sum Xi,avg(x),sum Yi,avg(y),sum(Xi*Yi),avg(x*y),D(x),D(y),S(x),S(y)
For у and x1,605,60.5,10.9,1.09,662.24,66.224,5.414,2.001,2.327,1.415
For у and Х2,2.044,0.204,10.9,1.09,2.265,0.227,0.000197,2.001,0.014,1.415
For у and Хз,1.849,0.185,10.9,1.09,2.069,0.207,0.000217,2.001,0.0147,1.415
For у and Х4,1.496,0.15,10.9,1.09,1.652,0.165,0.000167,2.001,0.0129,1.415
For у and Х5,0.756,0.0756,10.9,1.09,0.793,0.0793,3.50E-05,2.001,0.0059,1.415
For у and Х6,0.468,0.0468,10.9,1.09,0.487,0.0487,1.20E-05,2.001,0.0034,1.415
For у and Х7,0.947,0.0947,10.9,1.09,0.942,0.0942,0.00024,2.001,0.0155,1.415
For у and Х8,1.306,0.131,10.9,1.09,1.307,0.131,0.000117,2.001,0.0108,1.415
For у and Х9,0.268,0.0268,10.9,1.09,0.288,0.0288,0,2.001,0.0004,1.415
For Х1 and Х2,2.044,0.204,605,60.5,123.72,12.372,0.000197,5.414,0.014,2.327
For Х1 and Х3,1.849,0.185,605,60.5,111.816,11.182,0.000217,5.414,0.0147,2.327
For Х1 and Х4,1.496,0.15,605,60.5,90.669,9.067,0.000167,5.414,0.0129,2.327
For Х1 and Х5,0.756,0.0756,605,60.5,45.812,4.581,3.50E-05,5.414,0.0059,2.327
For Х1 and Х6,0.468,0.0468,605,60.5,28.314,2.831,1.20E-05,5.414,0.0034,2.327
For Х1 and Х7,0.947,0.0947,605,60.5,57.398,5.74,0.00024,5.414,0.0155,2.327
For Х1 and Х8,1.306,0.131,605,60.5,79.072,7.907,0.000117,5.414,0.0108,2.327
For Х1 and Х9,0.268,0.0268,605,60.5,16.216,1.622,0,5.414,0.0004,2.327
For Х2 and Х3,1.849,0.185,2.044,0.204,0.379,0.0379,0.000217,0.000197,0.0147,0.014
For Х2 and Х4,1.496,0.15,2.044,0.204,0.305,0.0305,0.000167,0.000197,0.0129,0.014
For Х2 and Х5,0.756,0.0756,2.044,0.204,0.154,0.0154,3.50E-05,0.000197,0.0059,0.014
For Х2 and Х6,0.468,0.0468,2.044,0.204,0.0956,0.00956,1.20E-05,0.000197,0.0034,0.014
For Х2 and Х7,0.947,0.0947,2.044,0.204,0.193,0.0193,0.00024,0.000197,0.0155,0.014
For Х2 and Х8,1.306,0.131,2.044,0.204,0.267,0.0267,0.000117,0.000197,0.0108,0.014
For Х2 and Х9,0.268,0.0268,2.044,0.204,0.0548,0.00548,0,0.000197,0.0004,0.014
For Х3 and Х4,1.496,0.15,1.849,0.185,0.276,0.0276,0.000167,0.000217,0.0129,0.0147
For Х3 and Х5,0.756,0.0756,1.849,0.185,0.139,0.0139,3.50E-05,0.000217,0.0059,0.0147
For Х3 and Х6,0.468,0.0468,1.849,0.185,0.0863,0.00863,1.20E-05,0.000217,0.0034,0.0147
For Х3 and Х7,0.947,0.0947,1.849,0.185,0.174,0.0174,0.00024,0.000217,0.0155,0.0147
For Х3 and Х8,1.306,0.131,1.849,0.185,0.241,0.0241,0.000117,0.000217,0.0108,0.0147
For Х3 and Х9,0.268,0.0268,1.849,0.185,0.0495,0.00495,0,0.000217,0.0004,0.0147
For Х4 and Х5,0.756,0.0756,1.496,0.15,0.114,0.0114,3.50E-05,0.000167,0.0059,0.0129
For Х4 and Х6,0.468,0.0468,1.496,0.15,0.0701,0.00701,1.20E-05,0.000167,0.0034,0.0129
For Х4 and Х7,0.947,0.0947,1.496,0.15,0.142,0.0142,0.00024,0.000167,0.0155,0.0129
For Х4 and Х8,1.306,0.131,1.496,0.15,0.196,0.0196,0.000117,0.000167,0.0108,0.0129
For Х4 and Х9,0.268,0.0268,1.496,0.15,0.0401,0.00401,0,0.000167,0.0004,0.0129
For Х5 and Х6,0.468,0.0468,0.756,0.0756,0.0354,0.00354,1.20E-05,3.50E-05,0.0034,0.0059
For Х5 and Х7,0.947,0.0947,0.756,0.0756,0.0723,0.00723,0.00024,3.50E-05,0.0155,0.0059
For Х5 and Х8,1.306,0.131,0.756,0.0756,0.0993,0.00993,0.000117,3.50E-05,0.0108,0.0059
For Х5 and Х9,0.268,0.0268,0.756,0.0756,0.0203,0.00203,0,3.50E-05,0.0004,0.0059
For Хб and Х7,0.947,0.0947,0.468,0.0468,0.0444,0.00444,0.00024,1.20E-05,0.0155,0.0034
For Х6 and Х8,1.306,0.131,0.468,0.0468,0.0613,0.00613,0.000117,1.20E-05,0.0108,0.0034
For Х6 and Х9,0.268,0.0268,0.468,0.0468,0.0125,0.00125,0,1.20E-05,0.0004,0.0034
For Х7 and Х8,1.306,0.131,0.947,0.0947,0.125,0.0125,0.000117,0.00024,0.0108,0.0155
For Х7 and Х9,0.268,0.0268,0.947,0.0947,0.0254,0.00254,0,0.00024,0.0004,0.0155
For Х8 and Х9,0.268,0.0268,1.306,0.131,0.035,0.0035,0,0.000117,0.0004,0.0108
